parlamentarier_anzeige_name,parlamentarier_id,parlamentarier_nachname,parlamentarier_vorname,parlamentarier_zweiter_vorname,parlamentarier_rat,parlamentarier_kanton,parlamentarier_partei,parlamentarier_fraktion,parlamentarier_kommissionen,parlamentarier_im_rat_seit,parlamentarier_im_rat_bis,parlamentarier_geschlecht,parlamentarier_geburtstag,parlamentarier_parlament_biografie_id,parlamentarier_parlament_number,parlamentarier_sprache,parlamentarier_arbeitssprache,interessenbindung_beschreibung,interessenbindung_von,interessenbindung_bis,interessenbindung_art,interessenbindung_funktion_im_gremium,interessenbindung_deklarationstyp,interessenbindung_status,interessenbindung_hauptberuflich,interessenbindung_behoerden_vertreter,interessenbindung_wirksamkeit,organisation_id,verguetung,verguetung_jahr,verguetung_beschreibung,organisation_name_de,organisation_uid,organisation_name_fr,organisation_ort,organisation_rechtsform,organisation_rechtsform_handelsregister,organisation_rechtsform_zefix,organisation_typ,organisation_vernehmlassung,gruppe_spalte,interessengruppe,Hauptcode,Hauptkategorie,Subcode,Subkategorie
"Paganini, Nicolò",333,Paganini,Nicolò,Alessio,NR,SG,M,M-E,"Del A-V, SPK-NR, UREK-NR",2018-03-12T00:00:00Z,NA,M,1966-06-08T00:00:00Z,4222,3123,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Page, Pierre-André",299,Page,Pierre-André,NA,NR,FR,SVP,V,"APF-V, APK-NR, Bü-N, Bü-VBV-V, IK-NR",2015-11-30T00:00:00Z,NA,M,1960-04-19T00:00:00Z,4169,3090,fr,fr,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Prelicz-Huber, Katharina",411,Prelicz-Huber,Katharina,NA,NR,ZH,Grüne,G,"GPK-N, WBK-NR",2008-09-15T00:00:00Z,NA,F,1959-10-12T00:00:00Z,3999,2732,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Pult, Jon",378,Pult,Jon,Andri,NR,GR,SP,S,"KVF-NR, UREK-NR",2019-10-20T00:00:00Z,NA,M,1984-10-12T00:00:00Z,4281,3173,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Riniker, Maja",415,Riniker,Maja,NA,NR,AG,FDP,RL,"Bü-N, Bü-VBV-V, SiK-NR",2019-12-02T00:00:00Z,NA,F,1978-05-23T00:00:00Z,4313,3209,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Ritter, Markus",178,Ritter,Markus,NA,NR,SG,M,M-E,WAK-NR,2011-12-05T00:00:00Z,NA,M,1967-04-19T00:00:00Z,4052,2754,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Ryser, Franziska",346,Ryser,Franziska,NA,NR,SG,Grüne,G,WAK-NR,2019-12-01T00:00:00Z,NA,F,1991-10-22T00:00:00Z,4286,3178,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Schlatter, Marionna",349,Schlatter,Marionna,NA,NR,ZH,Grüne,G,UREK-NR,2019-12-01T00:00:00Z,NA,F,1980-11-14T00:00:00Z,4288,3180,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Seiler Graf, Priska",304,Seiler Graf,Priska,NA,NR,ZH,SP,S,"GPDel-V, GPK-N, NATO-V, SiK-NR",2015-11-30T00:00:00Z,NA,F,1968-08-29T00:00:00Z,4199,3094,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Sommaruga, Carlo",192,Sommaruga,Carlo,NA,SR,GE,SP,S,"APK-S, Del-APF, Del-EFTA/EU, Del-I, GK, GPK-S, RK-S, WAK-S",2003-12-01T00:00:00Z,NA,M,1959-07-08T00:00:00Z,1120,2632,it,fr,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Suter, Gabriela",370,Suter,Gabriela,NA,NR,AG,SP,S,"GPK-N, UREK-NR",2019-12-01T00:00:00Z,NA,F,1972-12-12T00:00:00Z,4295,3187,de,de,Präsidentin,2022-02-01T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,hoch,637,0,2025,Ehrenamtlich,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Töngi, Michael",334,Töngi,Michael,NA,NR,LU,Grüne,G,"GPK-NR, KVF-NR",2018-03-12T00:00:00Z,NA,M,1967-03-16T00:00:00Z,4221,3122,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,0,2025,Ehrenamtlich,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Vara, Céline",421,Vara,Céline,Marie,SR,NE,Grüne,G,"GPK-S, RedK-V, RK-SR, UREK-SR",2019-12-02T00:00:00Z,NA,F,1984-10-04T00:00:00Z,4242,3197,fr,fr,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Vincenz-Stauffacher, Susanne",361,Vincenz-Stauffacher,Susanne,NA,NR,SG,FDP,RL,"Del FL-V, GK-V, IK-NR, UREK-NR",2019-12-01T00:00:00Z,NA,F,1967-01-21T00:00:00Z,4296,3188,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Walti, Beat",251,Walti,Beat,NA,NR,ZH,FDP,RL,WAK-NR,2014-06-02T00:00:00Z,NA,M,1968-11-22T00:00:00Z,4142,3044,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Wehrli, Laurent",310,Wehrli,Laurent,NA,NR,VD,FDP,RL,"APF-V, APK-NR, GPK-N, IPU",2015-11-30T00:00:00Z,NA,M,1965-06-04T00:00:00Z,4194,3100,fr,fr,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Zopfi, Mathias",380,Zopfi,Mathias,NA,SR,GL,Grüne,G,"FK-SR, KVF-SR, NATO-V, SiK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,M,1983-12-14T00:00:00Z,4244,3199,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,637,NA,NA,NA,Biodiversität und Artenschutz,NA,Biodiversité et gestion des espèces,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.4,Biodiversität / Artenvielfalt
"Strupler, Manuel",387,Strupler,Manuel,NA,NR,TG,SVP,V,UREK-NR,2019-10-20T00:00:00Z,NA,M,1980-04-12T00:00:00Z,4293,3185,de,de,NA,2024-10-09T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,10153,NA,NA,NA,Bioenergie Frauenfeld AG,CHE-186.239.624,NA,Frauenfeld,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Page, Pierre-André",299,Page,Pierre-André,NA,NR,FR,SVP,V,"APF-V, APK-NR, Bü-N, Bü-VBV-V, IK-NR",2015-11-30T00:00:00Z,NA,M,1960-04-19T00:00:00Z,4169,3090,fr,fr,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,tief,3989,2808,2025,Bezahlt,BioFuels Schweiz - Verband der schweizerischen Biotreibstoffindustrie,CHE-115.767.298,BioFuels Suisse - Union suisse de l'industrie des biocarburants,Sissach,Verein,0109,6,"EinzelOrganisation,DachOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Baumann, Kilian",358,Baumann,Kilian,NA,NR,BE,Grüne,G,WBK-NR,2019-12-01T00:00:00Z,NA,M,1980-12-14T00:00:00Z,4247,3139,de,de,Inhaber und Geschäftsführer,NA,NA,geschaeftsfuehrend,NA,deklarationspflichtig,deklariert,1,NA,tief,6727,25000,2025,NA,Biohof Inselmatt,NA,NA,Suberg,Einfache Gesellschaft,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Viehwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.2,Biolandwirtschaft & Öko-Initiativen
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,NA,2020-03-01T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,mittel,1390,7500,2025,NA,Biomasse Suisse,CHE-305.088.191,NA,Brugg AG,Verein,0109,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Crottaz, Brigitte",330,Crottaz,Brigitte,NA,NR,VD,SP,S,"Del F-V, SGK-NR",2018-02-26T00:00:00Z,NA,F,1957-10-06T00:00:00Z,4219,3120,fr,fr,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,3169,0,2025,Ehrenamtlich,Biopôle SA,CHE-112.156.520,NA,Epalinges,AG,0106,3,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",nie,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,11,Technologie & Innovation,NA,NA
"Schneeberger, Daniela",21,Schneeberger,Daniela,NA,NR,BL,FDP,RL,WAK-NR,2011-12-05T00:00:00Z,NA,F,1967-09-19T00:00:00Z,4060,2766,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,mittel,6546,1,2025,NA,BLT Baselland Transport AG,CHE-105.824.463,NA,Oberwil BL,AG,0106,3,EinzelOrganisation,punktuell,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.2,Öffentlicher Verkehr / Schiene
"Zopfi, Mathias",380,Zopfi,Mathias,NA,SR,GL,Grüne,G,"FK-SR, KVF-SR, NATO-V, SiK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,M,1983-12-14T00:00:00Z,4244,3199,de,de,NA,NA,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,N,tief,9991,1,2025,Bezahlt,BOS Management AG,CHE-112.136.813,NA,Altstätten SG,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.6,Verkehr allgemein
"Zopfi, Mathias",380,Zopfi,Mathias,NA,SR,GL,Grüne,G,"FK-SR, KVF-SR, NATO-V, SiK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,M,1983-12-14T00:00:00Z,4244,3199,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,9719,1,2025,Bezahlt,BOS PS Anstalt,CHE-193.759.969,NA,Ruggell,Genossenschaft,0441,NA,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.6,Verkehr allgemein
"Zopfi, Mathias",380,Zopfi,Mathias,NA,SR,GL,Grüne,G,"FK-SR, KVF-SR, NATO-V, SiK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,M,1983-12-14T00:00:00Z,4244,3199,de,de,NA,2024-11-23T00:00:00Z,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,N,tief,8301,1,2025,Bezahlt,BOS Service AG,CHE-100.094.289,NA,Altstätten SG,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.6,Verkehr allgemein
"Burkart, Thierry",273,Burkart,Thierry,Paul,SR,AG,FDP,RL,"Bü-SR, Del D-V, KVF-SR, OSZE, RedK-V, UREK-SR, WAK-SR",2015-11-30T00:00:00Z,NA,M,1975-08-21T00:00:00Z,4189,3065,de,de,NA,2021-08-21T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,tief,8160,1,2025,bezahlt,Bovida Real Estate AG,CHE-398.472.430,NA,Baar,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,14,Wohnen,14.3,Real Estate
"Hegglin, Peter",317,Hegglin,Peter,NA,SR,ZG,M,M-E,"FinDel, FK-S, SGK-S, WAK-S",2015-11-30T00:00:00Z,NA,M,1960-12-25T00:00:00Z,4153,3053,de,de,NA,2017-04-27T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,hoch,5766,1,2025,NA,Branchenorganisation Milch (BO Milch),CHE-173.828.314,Interprofession du lait,Bern,Verein,0109,6,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Milchwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.6,Tierhaltung
"Bregy, Philipp Matthias",340,Bregy,Philipp Matthias,NA,NR,VS,M,M-E,"Bü-NR, RK-NR, WAK-NR",2019-03-04T00:00:00Z,NA,M,1978-07-07T00:00:00Z,4230,3131,de,de,NA,2024-05-29T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,hoch,1173,15000,2025,(inkl. Spesen),Branchenverband Schweizer Reben und Weine,NA,Interprofession de la vigne et des vins suisses,Bern,Verein,NA,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,"Weinbau, Bier und Spirituosen",5,Landwirtschaft und Ernährungssysteme,5.4,Weinbau
"Cottier, Damien",388,Cottier,Damien,Jacques André,NR,NE,FDP,RL,"Bü-NR, ERD, FK-NR, KVF-NR",2019-10-20T00:00:00Z,NA,M,1975-04-03T00:00:00Z,4254,3146,fr,fr,NA,2024-05-31T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,mittel,1173,0,2025,Ehrenamtlich,Branchenverband Schweizer Reben und Weine,NA,Interprofession de la vigne et des vins suisses,Bern,Verein,NA,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,"Weinbau, Bier und Spirituosen",5,Landwirtschaft und Ernährungssysteme,5.4,Weinbau
"Stark, Jakob",384,Stark,Jakob,NA,SR,TG,SVP,V,"BeK-V, FK-SR, KVF-SR, UREK-SR, WBK-SR",2019-10-20T00:00:00Z,NA,M,1958-09-08T00:00:00Z,4241,3196,de,de,NA,2021-08-27T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,mittel,8162,0,2025,ehrenamtlich,Branchenverband Thurgau Weine,NA,NA,Wilen bei Neunforn,Verein,NA,NA,"EinzelOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,"Weinbau, Bier und Spirituosen",5,Landwirtschaft und Ernährungssysteme,5.4,Weinbau
"Hegglin, Peter",317,Hegglin,Peter,NA,SR,ZG,M,M-E,"FinDel, FK-S, SGK-S, WAK-S",2015-11-30T00:00:00Z,NA,M,1960-12-25T00:00:00Z,4153,3053,de,de,NA,NA,NA,mitglied,NA,nicht deklarationspflicht,nicht-deklariert,0,NA,tief,5131,-1,2025,Bezahlendes Mitglied,Bruderschaft des Greyerzer Käses,NA,Confrérie du Gruyère,Posieux,Verein,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Milchwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.6,Tierhaltung
"Ettlin, Erich",316,Ettlin,Erich,Ernst,SR,OW,M,M-E,"FK-SR, PD-OECD-V, RedK-V, SGK-SR, WAK-SR",2015-11-30T00:00:00Z,NA,M,1962-05-30T00:00:00Z,4206,3107,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,hoch,5859,1,2025,Vergütung geht an BDO,Brunni-Bahnen Engelberg AG,CHE-106.910.645,NA,Engelberg,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",punktuell,organisation_interessengruppe2,Tourismus/Gastronomie,12,Tourismus,12.2,Bergbahnen / Seilbahnen
"Vincenz-Stauffacher, Susanne",361,Vincenz-Stauffacher,Susanne,NA,NR,SG,FDP,RL,"Del FL-V, GK-V, IK-NR, UREK-NR",2019-12-01T00:00:00Z,NA,F,1967-01-21T00:00:00Z,4296,3188,de,de,"Präsidentin der Jury des Preises ""Watt d'Or""",NA,NA,taetig,NA,deklarationspflichtig,deklariert,0,NA,mittel,1480,0,2025,Ehrenamtlich,Bundesamt für Energie (BFE),CHE-157.957.462,NA,Ittigen,Staatlich,0220,NA,"EinzelOrganisation,LeistungsErbringer",punktuell,organisation_interessengruppe1,Energie allgemein,9,Staatliche & kommunale Akteure,NA,NA
"Hug, Roman",477,Hug,Roman,NA,NR,GR,SVP,V,WBK-NR,2023-12-04T00:00:00Z,NA,M,1980-12-07T00:00:00Z,10844,10844,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,nicht-deklariert,0,N,tief,9581,0,2025,"Ehrenamtlich, Spesenentschädigung",Bündner Vereinigung für Raumentwicklung,NA,NA,Chur,Verein,NA,NA,"DachOrganisation,MitgliedsOrganisation,LeistungsErbringer,dezidierteLobby",nie,organisation_interessengruppe1,Raumplanung,15,Nachhaltige Raumplanung,NA,NA
"Rumy, Farah",486,Rumy,Farah,NA,NR,SO,SP,S,"APK-NR, IK-NR",2023-12-04T00:00:00Z,NA,F,1991-12-28T00:00:00Z,11506,11506,de,de,Mitglied Bürgerrat,NA,NA,vorstand,mitglied,deklarationspflichtig,nicht-deklariert,0,N,tief,9481,800,2025,NA,Bürgergemeinde Grenchen,NA,NA,Grenchen,Verein,NA,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",nie,organisation_interessengruppe1,Staatspolitik allgemein,9,Staatliche & kommunale Akteure,NA,NA
"von Falkenstein, Patricia",430,von Falkenstein,Patricia,Caroline Manuela,NR,BS,LDP,RL,"BeK, GK, GPK-N, RK-N",2021-11-29T00:00:00Z,NA,F,1961-04-11T00:00:00Z,4324,3219,de,de,Bürgergemeinderätin und Statthalterin,2017-01-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,NA,tief,367,600,2025,bis zu 4 Sitzungen pro Jahr à 150 Franken Sitzungsgeld,Bürgergemeinderat der Stadt Basel,NA,NA,Basel,Staatlich,NA,NA,"LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe2,Staatspolitik allgemein,9,Staatliche & kommunale Akteure,NA,NA
"Burgherr, Thomas",272,Burgherr,Thomas,NA,NR,AG,SVP,V,"GPK-N, WAK-NR",2015-11-30T00:00:00Z,NA,M,1962-08-01T00:00:00Z,4158,3064,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,2946,1,2025,NA,Burgherr Immobilien AG,CHE-264.675.785,NA,Hintermoos,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,14,Wohnen,14.3,Real Estate
"Imark, Christian",289,Imark,Christian,NA,NR,SO,SVP,V,"KVF-NR, UREK-NR",2015-11-30T00:00:00Z,NA,M,1982-01-29T00:00:00Z,4164,3080,de,de,NA,2024-05-31T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,hoch,1156,1,2025,Bezahlt,Bus CH - Verband schweizerischer Postautounternehmer,NA,Bus CH - Association entrepreneurs postaux suisse,Bern,Verein,NA,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.2,Öffentlicher Verkehr / Schiene
"Zopfi, Mathias",380,Zopfi,Mathias,NA,SR,GL,Grüne,G,"FK-SR, KVF-SR, NATO-V, SiK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,M,1983-12-14T00:00:00Z,4244,3199,de,de,NA,2024-11-23T00:00:00Z,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,N,hoch,5931,1,2025,Bezahlt,BUS Ostschweiz AG,CHE-107.283.779,NA,Altstätten SG,AG,0106,3,"DachOrganisation,LeistungsErbringer",punktuell,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.2,Öffentlicher Verkehr / Schiene
"Flach, Beat",83,Flach,Beat,NA,NR,AG,GLP,GL,"RK-N, SiK-N",2011-12-05T00:00:00Z,NA,M,1965-01-21T00:00:00Z,4059,2765,de,de,NA,NA,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,NA,mittel,604,1500,2023,NA,Casafair Schweiz,CHE-233.920.658,habitatdurable,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,14,Wohnen,14.3,Real Estate
"Friedl, Claudia",89,Friedl,Claudia,NA,NR,SG,SP,S,"APK-NR, Del A-V, Del FL-V, OSZE",2013-03-04T00:00:00Z,NA,F,1960-07-19T00:00:00Z,4131,3035,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,mittel,604,1500,2025,NA,Casafair Schweiz,CHE-233.920.658,habitatdurable,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,14,Wohnen,14.3,Real Estate
"Gysi, Barbara",110,Gysi,Barbara,NA,NR,SG,SP,S,SGK-NR,2011-12-12T00:00:00Z,NA,F,1964-05-14T00:00:00Z,4121,3026,de,de,NA,NA,NA,mitglied,NA,nicht deklarationspflicht,nicht-deklariert,0,N,tief,604,-1,2025,Bezahlendes Mitglied,Casafair Schweiz,CHE-233.920.658,habitatdurable,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,14,Wohnen,14.3,Real Estate
